INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Brussels International Exhibition',257,'20.09.1996','09.10.1996',881617,7,99,26,4700713,3194960,923583,2976008);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Страницы истории',504,'28.06.1990','28.07.1990',747774,7,240,43,9469068,1946653,4262301,3487960);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Русь. Россия. Российская империя',351,'10.10.2019','30.10.2019',504916,3,446,7,6476586,4328690,3853765,1229129);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Будущее, в котором хочется жить!',250,'10.02.1997','23.02.1997',877297,8,18,35,4382463,9410239,4417742,4469299);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Высокие технологии – стратегия XXI века',430,'31.08.2001','26.09.2001',728781,1,107,16,8399732,5862471,2805128,1513424);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Идеи. Гипотезы. Открытия',116,'31.03.2020','17.04.2020',249574,8,467,19,8249676,5584051,712254,130633);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Шедевры фантастики',290,'31.03.2014','23.04.2014',293256,8,279,41,2633089,7569252,4556031,4071387);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Триумф человеческого разума',455,'07.09.1991','16.09.1991',724071,6,427,46,3340810,5930400,934462,3428407);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Вперёд, к звёздам',507,'28.01.2019','11.02.2019',667238,6,44,38,686733,1163140,1637105,3775655);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Звёзды смотрят на нас',33,'27.11.2000','29.11.2000',202178,6,167,38,308667,3237019,4015762,1958284);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Палитра свободных звуков.',523,'30.08.1994','14.09.1994',423006,2,155,26,9091468,2250240,2739118,4204334);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Свет глазами мастера',55,'16.09.1992','11.10.1992',372305,2,441,37,5160207,6891909,3977227,2451035);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Мастерство, фантазия, щедрость',433,'25.05.1999','23.06.1999',664215,4,55,30,5782510,5631464,4302763,4414621);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Эрмитаж интересных встреч',243,'20.10.2006','29.10.2006',717927,3,431,22,5537774,2072491,516872,1051078);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Талант годам не подвластен',146,'01.12.2005','31.12.2005',103074,3,60,44,3085133,8081173,583747,2983110);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Художник эпохи',20,'20.09.2010','26.09.2010',636040,5,441,21,3278094,6471531,4914866,4902971);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Кистью творца остановленный миг',451,'25.05.1996','03.06.1996',931531,4,316,43,791597,1359156,2945522,1953166);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Бесконечный полет фантазии',459,'01.11.1992','14.11.1992',400520,3,368,24,7073113,2553561,278435,3849742);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Реформатор изобразительного искусства',143,'05.07.2019','25.07.2019',682553,5,153,28,1500325,8800453,2274225,1136382);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Сказка в русской живописи',2,'13.07.2006','06.08.2006',283290,4,312,12,4514996,7298872,4887317,51714);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Путешествие в страну Вдохновение',346,'24.06.1998','27.06.1998',802562,2,280,34,8656822,9401056,3643564,4644017);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Путешествие в страну творчества',110,'24.08.2003','04.09.2003',672184,7,10,28,5258197,9866489,3542956,4684414);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('В мире грёз',46,'05.03.2017','02.04.2017',398595,1,148,42,4709884,8043507,1623731,3962651);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Искусство нашего края',93,'31.03.2019','11.04.2019',54854,7,75,50,4828465,145842,2572529,2495542);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Прекрасное вокруг нас',374,'09.10.2008','19.10.2008',83830,7,405,11,9009635,2045947,4953813,1511683);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Fastener Expo Shanghai',411,'19.06.2000','27.06.2000',719150,7,261,19,297017,4696938,4617995,3037066);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Design Shanghai',467,'07.03.2010','20.03.2010',504147,7,104,21,5350658,5043683,3470818,2126759);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Zjtex',423,'08.07.2001','17.07.2001',719863,8,263,2,2544131,9034764,605246,4008931);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Sino Dental',518,'14.10.2009','15.10.2009',309124,1,195,24,1122273,9857566,233719,2878313);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Guangzhou International Lighting Exhibition',158,'19.02.2021','12.03.2021',235113,3,27,1,5001631,6699479,2442306,3043935);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Guangzhou Electrical Building Technology (GEBT)',254,'26.07.2018','22.08.2018',951867,1,283,43,46755,2160524,118731,2450645);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('CBBE',457,'03.06.2016','27.06.2016',563028,4,58,1,679701,3930409,3541757,1912611);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Beijing International Manufacturing Exhibition',52,'19.11.2014','29.11.2014',434107,6,131,49,2454762,4038637,2249070,1581761);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('GITF',45,'03.09.1990','07.09.1990',848317,2,175,45,2676958,9820779,4138168,2779384);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('ITMA Asia',288,'06.10.2005','01.11.2005',404313,6,302,45,4885532,6029175,485265,4505105);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('LogiMAT',92,'31.07.2006','03.08.2006',858892,5,423,30,332106,9712561,3087787,217099);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('All in Caravaning',397,'10.07.2006','03.08.2006',482545,5,486,34,1683517,1261048,3631019,2776173);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('ART3F Haute-Savoie',143,'09.06.1997','04.07.1997',912048,3,279,19,3514995,9157713,4226738,1115562);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Foire Exposition De Picardie',7,'16.10.1993','04.11.1993',682015,3,371,3,6844155,9498383,4281328,4695436);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Cfia Rennes',429,'16.06.2004','26.06.2004',682802,2,2,46,8267325,4354151,4837698,886836);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('ART3F Mulhouse',206,'03.08.2020','29.08.2020',599793,6,266,2,6657300,6204408,3507288,991913);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Provins Medieval Festival',77,'23.07.1999','12.08.1999',471224,8,345,46,1169088,4419737,3880849,3496288);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('ART3F Paris',523,'11.05.1999','22.05.1999',132410,6,170,19,4317209,892949,2058653,1278190);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Foire Internationale de Lyon',99,'14.09.2019','03.10.2019',308904,6,26,26,6610159,2845095,1191722,1201146);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Cannes Lions',87,'10.04.1998','11.04.1998',543241,6,43,12,9099732,3194019,2636947,2008233);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('St. Anthony Park Arts Festival',22,'18.08.1998','04.09.1998',649120,5,448,35,3031257,1893319,3063054,3939166);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Wedding & Portrait Photography Expo (WPPI)',292,'27.07.1991','17.08.1991',292579,5,5,44,5972482,7812633,2464349,2322214);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('WPPI Wedding & Portrait Photography Expo',521,'08.11.1991','11.11.1991',974739,1,295,14,2044120,1794029,468371,3645987);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Italian Family Festa San Jose',354,'11.02.2007','22.02.2007',269176,1,245,31,9771899,9820117,249253,3141982);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('New York International Antiquarian Book Fair',265,'15.12.2004','14.01.2005',12632,4,237,11,456840,7225166,3726365,4548976);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('The Norton Show Fall',534,'01.07.2015','16.07.2015',702977,5,404,5,256233,9856368,2170036,3489895);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Fan Expo',108,'05.02.2000','10.02.2000',649090,3,487,19,9770970,8040939,2553940,2092501);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('McMenamins UFO Festival',546,'23.07.2003','11.08.2003',494300,1,68,41,9860387,1346787,1850377,4922179);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Home & Crafts Faire Fredericksburg',92,'15.12.2009','01.01.2010',299797,3,451,41,8853839,9573663,320790,987629);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('West Coast Historical Militaria Collectors Show',192,'20.06.2014','10.07.2014',816631,7,68,13,6705520,7454403,4702075,2009948);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Antique Spectacular Quad Cities',207,'18.05.2002','20.05.2002',711617,1,365,48,2230432,9996106,1499768,1655843);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('ArtExpo',370,'02.08.2000','18.08.2000',481943,1,323,24,1678808,9188134,2766277,1791108);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('The Norton Show',197,'26.05.1997','21.06.1997',146807,3,164,34,7455384,4644235,3118211,230702);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Modern Art Miami',68,'10.05.1997','15.05.1997',925143,5,405,4,9293313,7351230,322729,4494889);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Untitled Art',468,'06.02.2004','16.02.2004',144266,3,47,30,2010286,5784091,126426,4248156);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('The Original Beach Antique Show',307,'27.02.1991','25.03.1991',353944,8,236,32,5551134,2544015,4167205,3541411);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('National Conference and Exposition',299,'14.03.1999','23.03.1999',359974,1,15,33,906450,9895458,4085496,1487771);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Hay Festival',34,'31.07.2000','12.08.2000',297586,1,3,29,1521231,2642148,237944,124063);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('London Map Fair',172,'03.02.2002','06.02.2002',366961,3,433,31,3032074,1805105,4036180,339356);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('St Magnus International Festival',322,'16.04.2013','17.04.2013',601898,8,488,29,5433718,4886834,178494,174497);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('The Three Counties Show',105,'14.04.2013','29.04.2013',293271,6,178,32,9810592,1031424,2851783,3323029);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('ICE',247,'24.06.1998','22.07.1998',47941,6,381,40,4852499,6870662,3186963,2453526);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('New Designers',31,'04.07.1998','24.07.1998',712755,5,20,30,5859101,7212545,2784555,4955251);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('The International Forest Festival / TIMBER',462,'20.01.2001','31.01.2001',176829,8,110,13,6806485,1994684,3522978,2491887);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Data Centre World',388,'01.06.1992','24.06.1992',152825,8,115,41,7535002,39973,1737060,1991174);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Beauty',310,'21.11.1997','28.11.1997',237138,8,420,30,3863242,5176054,4240074,552924);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Woodhall Spa 40s Festival',53,'05.10.1998','22.10.1998',209372,5,395,29,2366782,68055,2194009,3933513);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('War and Peace Revival',177,'22.04.2014','10.05.2014',7764,3,62,19,7836077,9679764,2765145,3234744);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Echoes Of History',350,'05.01.2020','09.01.2020',614021,6,143,21,989058,8136971,945544,3253338);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Design In Mental Health',98,'07.06.2020','22.06.2020',56490,6,328,1,1846210,7680068,1703663,4802799);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Живая старина',7,'10.08.2004','24.08.2004',915941,8,240,23,209468,7341927,4399568,2792266);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Недра России',547,'18.11.2009','06.12.2009',573801,8,30,15,8292097,9087115,3121891,3006111);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('АрхВектор',476,'15.11.1993','04.12.1993',831025,3,208,36,7739027,7841901,3920586,1547700);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('Мир глазами зодчих',114,'02.04.2021','22.04.2021',601745,7,179,47,6391236,7937324,2269397,3854975);
INSERT INTO exhibitions(title, c_id, date_start, date_finish, account, tp_id, org_id,a_id, interpreters, stand, transportation, marketing) VALUES('SibBeauty',332,'27.11.2002','23.12.2002',62021,2,349,48,8999843,9389511,2158325,1694680);
